Date,Start,End,Minutes,Hours,Main accomplishments in the day
1-Jun-26,8:45,17:42,537,8.95,Induction + chat with mark + reading a lot of material
2-Jun-26,8:45,17:40,535,8.92,"Tour with Vince through the department, chat with mark + reading a lot of material + scheduling meetings. "
3-Jun-26,8:02,20:54,772,12.87,"Long conversation with John, several items to read and prepare for future meetings. Discussed extra hours with Mark and John and got their blessing."
4-Jun-26,8:05,21:19,794,13.24,Arranged meetings with Raj and Karen and started going through all the specific documentation I have as of now (mostly sent by john)
5-Jun-26,8:09,14:09,360,6.00,Mostly reading the material john and mark sent me to prepare for my meeting on Monday
7-Jun-26,10:37,17:26,409,6.82,Started looking at mandatory modules + John's emails and material + mySQL procedures and dialect
8-Jun-26,8:07,18:31,624,10.40,Battle with IT - Meetings with Raj and Karen
9-Jun-26,8:03,19:08,665,11.09,"Still battleing with IT, several things done in terms of organizing things and mapping who is who, reivising SQL documentation etc. "
10-Jun-26,8:01,17:00,539,8.99,Meeting with Dan + Jason + James
11-Jun-26,8:14,18:23,609,10.15,Going through documentation and revising SQL
12-Jun-26,7:10,14:07,417,6.95,Preparing for meetings with Lizzi + revising mySQL specific syntax and database architecture
14-Jun-26,7:52,16:56,544,9.07,Getting ready for meetings for the week following - Starting to get familiar with all the agencies - revising Johns attachments
15-Jun-26,7:29,17:08,579,9.65,Several meetings - SMB + Lizzie + Archie + Kidney registry
16-Jun-26,08:00,17:14,554,9.24,Lots reading on the current state of BHLY
17-Jun-26,07:26,16:02,516,8.60,Got back to studying the material that John sent me
18-Jun-26,08:07,16:54,527,8.79,Catching up with Lizzie's emails 
19-Jun-26,07:46,14:05,379,6.32,"""easy day"". Replying email, getting familiar with BHLY"
22-Jun-26,08:06,17:52,586,9.77,Mostly getting familiar with BHLY and trying to sort IT permission issues. 
23-Jun-26,08:01,18:43,642,10.70,Very long meeting with John +3h and getting ready for Lizzi's meeting + network event with Mark next week
24-Jun-26,07:41,20:18,757,12.62,Started going through the documentation on the X drive.... and then I got locked out and triped some security policy
25-Jun-26,07:55,17:29,574,9.57,Going through documentation still + SQL scripts
26-Jun-26,07:02,18:42,700,11.67,Rabbit hole through through X: files
