Date,Start,End,Minutes,Hours,Main activities in the day
2026-06-01,08:45,17:42,537,8.95,Induction + chat with mark + reading a lot of material
2026-06-02,08:45,17:40,535,8.92,"Tour with Vince through the department, chat with mark + reading a lot of material + scheduling meetings."
2026-06-03,08:02,20:54,772,12.87,"Long conversation with John, several items to read and prepare for future meetings. Discussed extra hours with Mark and John and got their blessing."
2026-06-04,08:05,21:19,794,13.23,Arranged meetings with Raj and Karen and started going through all the specific documentation I have as of now (mostly sent by john)
2026-06-05,08:09,14:09,360,6.00,Mostly reading the material john and mark sent me to prepare for my meeting on Monday
2026-06-07,10:37,17:26,409,6.82,Started looking at mandatory modules + John's emails and material + mySQL procedures and dialect
2026-06-08,08:07,18:31,624,10.40,Battle with IT - Meetings with Raj and Karen
2026-06-09,08:03,19:08,665,11.08,"Still battleing with IT, several things done in terms of organizing things and mapping who is who, reivising SQL documentation etc."
2026-06-10,08:01,17:00,539,8.98,Meeting with Dan + Jason + James
2026-06-11,08:14,18:23,609,10.15,Going through documentation and revising SQL
2026-06-12,07:10,14:07,417,6.95,Preparing for meetings with Lizzi + revising mySQL specific syntax and database architecture
2026-06-14,07:52,16:56,544,9.07,Getting ready for meetings for the week following - Starting to get familiar with all the agencies - revising Johns attachments
2026-06-15,07:29,17:08,579,9.65,Several meetings - SMB + Lizzie + Archie + Kidney registry
2026-06-16,08:00,17:14,554,9.23,Lots reading on the current state of BHLY
2026-06-17,07:26,16:02,516,8.60,Got back to studying the material that John sent me
2026-06-18,08:07,16:54,527,8.78,Catching up with Lizzie's emails
2026-06-19,07:46,14:05,379,6.32,"""easy day"". Replying email, getting familiar with BHLY"
2026-06-22,08:06,17:52,586,9.77,Mostly getting familiar with BHLY and trying to sort IT permission issues.
2026-06-23,08:01,18:43,642,10.70,Very long meeting with John +3h and getting ready for Lizzi's meeting + network event with Mark next week
2026-06-24,07:41,20:18,757,12.62,Started going through the documentation on the X drive.... and then I got locked out and triped some security policy
2026-06-25,07:55,17:29,574,9.57,Going through documentation still + SQL scripts
